,Date,Still Hospitalised,7 days Moving Average,Percentage Vaccinated,Passengers
0,-1.6958532844512957,-0.7257024645183969,-0.6173131022176126,-2.3191330016826703,-0.8453889910338772
1,-1.6545592919698255,-0.7316751170852221,-0.6173365460390998,-2.2358104994955035,-0.8453889910338772
2,-1.6132652994883552,-0.751987383987685,-0.6173521409013172,-2.1449654034601715,-0.8453889910338772
3,-1.571971307006885,-0.7402437338731709,-0.6173457282273808,-2.067270654956374,-0.8453889910338772
4,-1.5306773145254147,-0.7565172428909471,-0.6173479101600197,-1.996182249720608,-0.8453889910338772
5,-1.3655013445995337,-0.7739633193504831,-0.6173753320368411,-1.685972360996538,-0.8453889910338772
6,-1.3242073521180635,-0.7739633193504831,-0.6173820251220926,-1.5785190645040896,-0.8453889910338772
7,-1.2829133596365934,-0.7888448234176064,-0.6173891805065855,-1.4706133417044107,-0.8453889910338772
8,-1.241619367155123,-0.7821024434337219,-0.6173965871195972,-1.374898544232967,-0.8453889910338772
9,-1.1177373897107123,-0.8031402112719804,-0.617404607068079,-1.0551594267685673,-0.8453889910338772
10,-1.076443397229242,-0.8091999259574831,-0.6174044035071886,-0.9655838874198128,-0.8453889910338772
11,-1.0351494047477718,-0.8097168640989217,-0.6174054005942461,-0.8889310553727889,-0.8453889910338772
12,-0.9938554122663015,-0.8124619953940699,-0.6174078418199751,-0.8192500118540361,-0.8453889910338772
13,-0.9525614197848312,-0.8150448289593636,-0.6174085775103061,-0.7571767793749021,-0.8453889910338772
14,-0.8286794423404206,-0.8238520931257821,-0.6174080912658343,-0.5488543441396024,-0.8453889910338772
15,-0.7873854498589503,-0.8233251001617293,-0.6174022510082836,-0.5006807188460746,-0.8453889910338772
16,-0.7460914573774801,-0.8213036262840591,-0.617393375893141,-0.4550104644391216,-0.8453889910338772
17,-0.7047974648960098,-0.8226063521877253,-0.6173781436618325,-0.4055796324123812,-0.8453889910338772
18,-0.6635034724145396,-0.8174703101549922,-0.617358161089036,-0.3618028347284185,-0.8453889910338772
19,-0.5396214949701288,-0.7986026946772454,-0.6172641709901622,-0.21532298734835303,-0.8453889910338772
20,-0.49832750248865854,-0.7913226204058129,-0.6172394757657876,-0.16939413322406438,-0.8453889910338772
21,-0.4570335100071883,-0.7777120602838027,-0.617202615506282,-0.12723697318353094,-0.3477154275760185
22,-0.415739517525718,-0.76511378740231,-0.61714981229843,-0.08754218979534077,-0.3477154275760185
23,-0.3744455250442478,-0.7385669948246164,-0.6170695705483883,-0.047069506055006836,-0.3477154275760185
24,-0.250563547599837,-0.7031001403965734,-0.616748917816461,0.07769083958232795,-0.3477154275760185
25,-0.20926955511836678,-0.6989524694065269,-0.6164816503788965,0.11784003592116668,-0.3477154275760185
26,-0.16797556263689653,-0.6837846502867608,-0.6161555141660128,0.15719179698130417,-0.3477154275760185
27,-0.1266815701554263,-0.6837846502867608,-0.6155017048695981,0.20001259135000557,-0.3477154275760185
28,-0.08538757767395605,-0.6643703805394247,-0.6143265025982545,0.24307628591066077,-0.3477154275760185
29,0.0384943997704547,-0.5865675880540389,-0.6087048013680292,0.34070264243788545,-0.3477154275760185
30,0.07978839225192495,-0.5488560553190676,-0.6042066537082067,0.3694120767670999,-0.3477154275760185
31,0.12108238473339519,-0.5339543654385087,-0.5989813192867325,0.4007556215018235,-0.3477154275760185
32,0.16237637721486545,-0.5161416220409374,-0.5926105650364756,0.43666549024826684,-0.3477154275760185
33,0.2036703696963357,-0.5443233980082552,-0.5865761626418546,0.476371257050218,-0.3477154275760185
34,0.32755234714074644,-0.17472680902829518,-0.5582019063841495,0.5664946515589203,-0.3477154275760185
35,0.3688463396222167,-0.06367887973245007,-0.5482674517713595,0.5996689872135972,-0.3477154275760185
36,0.41014033210368694,-0.11856962958761703,-0.5263691075724123,0.638346756881289,-0.3477154275760185
37,0.4514343245851572,-0.039643809338632964,-0.5026986326841386,0.6684785834016552,-0.3477154275760185
38,0.49272831706662745,-0.09987160355225062,-0.4691632475567437,0.6952402271691304,-0.3477154275760185
39,0.6166102945110382,0.3912555376219907,-0.3350247826636866,0.7667352931114698,-0.3477154275760185
40,0.6579042869925085,0.5032673037474811,-0.24380343529715323,0.7719666683567183,-0.3477154275760185
41,0.6991982794739787,0.5346636220478067,-0.16191630651312314,0.7752279947295296,-0.3477154275760185
42,0.740492271955449,0.6152838765203282,-0.04874762987905718,0.7762135091345251,-0.3477154275760185
43,0.7817862644369192,0.60217859523076,0.12341368593679308,0.7843101700774494,1.5876817636489877
44,0.9056682418813299,0.5989146011536186,0.4362681125203952,0.7894158367830764,1.5876817636489877
45,0.9469622343628001,1.1740458988326403,0.6897395303344953,0.7904253474186299,1.5876817636489877
46,0.9882562268442704,1.2068643840744466,0.9956313855970725,0.7925853575555344,1.5876817636489877
47,1.0295502193257406,1.2651504413768448,1.260419396755847,0.793454106059733,1.5876817636489877
48,1.070844211807211,1.3937503902967558,1.455389752694855,0.8138660027800997,1.5876817636489877
49,1.1947261892516217,2.0322061303803753,2.0651151905489353,0.8947488760043658,1.5876817636489877
50,1.2360201817330918,1.642912179816037,1.889933316869553,0.9311389251617564,1.5876817636489877
51,1.2773141742145622,1.1537134244428617,1.7622143262931416,0.9618123098963575,1.5876817636489877
52,1.3186081666960323,1.1699684060086584,1.5879661758358867,0.9878137433105985,1.5876817636489877
53,1.3599021591775027,1.5229386321062337,1.5435699841264918,1.0111060729594112,1.5876817636489877
54,1.4837841366219133,2.115701268379513,1.6000101148440469,1.0878662571073145,1.5876817636489877
